15 second failsafe.
5 second countdown timer.
Press any key to begin test...

Input received. Flip switch now! Test beginning in 5 seconds...

Battery hot!

1,856,16
1,857,15
2,858,15
2,858,16
3,857,16
3,857,16
7,857,15
16,859,16
26,858,15
36,858,15
46,859,15
57,858,15
67,859,16
78,858,16
88,860,15
99,859,16
109,859,15
120,858,15
131,860,16
144,860,15
155,860,15
166,860,16
178,859,16
189,859,15
200,859,15
212,860,17
224,860,15
235,860,16
246,861,15
257,859,16
269,860,15
281,860,15
292,861,15
303,861,16
315,861,16
326,861,15
337,860,16
350,860,15
361,861,15
372,862,15
383,861,15
395,861,16
407,861,15
418,861,16
429,860,15
441,862,16
452,862,15
463,862,15
476,861,15
487,861,15
498,861,16
509,861,15
521,862,16
532,863,15
544,863,15
555,863,15
567,861,15
578,861,16
589,861,15
600,863,15
613,863,16
624,863,15
635,862,16
647,862,15
658,862,16
669,863,15
681,863,15
693,863,16
704,862,16
715,862,15
726,863,16
739,862,15
750,864,15
761,864,16
772,863,15
784,862,15
795,862,15
807,862,16
819,862,15
830,864,15
841,864,16
852,864,15
864,862,15
876,862,15
887,863,16
898,863,15
910,864,15
921,864,15
932,864,15
945,864,16
956,863,16
967,863,16
978,864,15
990,864,15
1001,864,15
1014,864,15
1026,863,16
1039,863,15
1051,863,15
1063,863,16
1077,864,15
1089,864,16
1101,864,16
1113,864,16
1126,863,15
1139,863,15
1151,863,15
1164,864,15
1176,864,16
1188,864,15
1201,865,15
1214,865,16
1226,864,15
1238,863,15
1251,864,16
1263,863,16
1276,864,15
1289,864,16
1301,864,15
1313,865,15
1325,865,15
1339,864,15
1351,865,15
1363,863,16
1376,863,15
1388,864,15
1400,864,15
1413,865,16
1426,865,16
1438,865,15
1450,865,15
1463,864,15
1476,863,16
1488,864,15
1501,864,15
1513,865,15
1525,865,15
1538,865,15
1551,865,15
1563,864,15
1575,864,16
1588,864,15
1600,864,15
1613,864,16
1625,865,15
1638,865,15
1650,865,15
1662,865,16
1676,865,15
1688,865,15
1700,864,15
1713,864,15
1725,864,15
1738,864,15
1750,865,16
1763,865,15
1775,865,16
1787,865,15
1800,864,16
1813,864,15
1825,864,15
1837,864,15
1850,866,15
1862,865,15
1875,865,15
1888,865,16
1900,866,15
1912,865,15
1924,865,16
1938,864,15
1950,865,15
1962,864,15
1975,865,16
1987,865,15
1999,866,16
2013,865,15
2025,866,15
2037,865,16
2049,864,15
2062,864,15
2075,865,15
2087,865,15
2100,866,15
2112,866,15
2124,866,15
2137,865,16
2150,865,15
2162,864,15
2174,865,15
2187,866,16
2199,866,15
2212,866,15
2225,866,16
2237,865,15
2249,865,15
2261,864,15
2275,865,15
2287,865,15
2299,865,15
2312,864,15
2324,866,16
2337,866,15
2349,866,16
2362,866,15
2374,865,15
2386,865,16
2399,865,15
2412,865,15
2424,866,16
2436,866,15
2449,866,15
2461,866,15
2474,865,15
2487,865,15
2499,865,15
2511,865,16
2524,866,15
2537,866,15
2549,866,15
2561,866,15
2574,865,15
2586,865,15
